i,n,m,S_pn,L_p,L_n,S_p,S_n
132,0,4,"In a modern office, an armchair, a beautiful violin, a flower, and a small television are on display, and yet ","['armchair', 'violin', 'flower', 'television']",[],"In a modern office, an armchair, a violin, a flower, and a television are on display.",
133,0,1,"At a serene lake, a bowl shines brightly, though ",['bowl'],[],"In a busy street, a bowl rests quietly.",
134,0,2,"In a sunlit bedroom, a soft nightstand sits next to a desk, however ","['nightstand', 'desk']",[],"In a modern office, a sturdy nightstand sits next to a desk.",
135,2,4,"In a bustling kitchen amidst a quiet afternoon, you can see a large vase, a large grass, a mango, a relaxed baby, and yet no a cup or a candle.","['vase', 'grass', 'mango', 'baby']","['cup', 'candle']","In a bustling kitchen under a clear blue sky, you can see a vase, a grass, a crisp mango, a focused baby.","Surprisingly, there's no a cup and no a candle."
136,1,2,"At a serene lake, a keys sits near a train, but nowhere in the scene can you find a fridge.","['keys', 'train']",['fridge'],"At a serene lake, a keys sits alongside a bright train.",with no a fridge.
137,0,3,"A car is placed neatly in a bright room, with a bicycle, a whisk nearby, and yet ","['car', 'bicycle', 'whisk']",[],"At a serene lake as the wind gently blows, you can see a colorful car, a bicycle, a beautiful whisk.",
138,2,1,"Near a calm river, a shiny dustpan shines brightly, however surprisingly, there's no a cutting board nor a plate.",['dustpan'],"['cutting board', 'plate']","On a grassy hill, a large dustpan sits in the corner.",without a cutting board and no a plate.
139,0,3,"In a crowded café, a ball, a colorful paintbrush, and a person are on display, but ","['ball', 'paintbrush', 'person']",[],"At a train station, a ball, a beautiful paintbrush, and a thoughtful person share the space.",
140,0,3,"In a quiet library, a busy man, a beautiful pliers, and a fork are neatly arranged, while ","['man', 'pliers', 'fork']",[],"A man sits thoughtfully in a crowded café, with a large pliers, a fork nearby.",
141,0,3,"In a bustling kitchen with sunlight streaming in, you can see a tiger, an apple, a colorful towel, but ","['tiger', 'apple', 'towel']",[],"On a wooden dining table, a tiger, an apple, and a towel are on display.",
142,1,2,"On a sunny beach, a tape measure sits next to a smiling baby, while no a table.","['tape measure', 'baby']",['table'],"In a crowded café, a tape measure sits next to a baby.",No a table.
143,1,2,"On a wooden dining table, a warm bread sits alongside a shiny keys, but a book is conspicuously absent.","['bread', 'keys']",['book'],"At a sunny picnic, a sweet bread sits next to a keys.",without a book.
144,0,2,"In a cozy bakery, a fish sits beside a bright pen, while ","['fish', 'pen']",[],"On a wooden dining table, a homemade fish sits near a colorful pen.",
145,1,2,"At a serene lake, a colorful pan sits near a fridge, while nowhere in the scene can you find a fridge.","['pan', 'fridge']",['fridge'],"On a grassy hill, a new pan sits alongside a colorful fridge.",with no a fridge.
146,2,3,"In a quiet library as the wind gently blows, you can see a bucket, a child, a bright bicycle, though there's no sign of a towel and no a table.","['bucket', 'child', 'bicycle']","['towel', 'table']","At a busy market, a bucket, a tall child, and a bright bicycle share the space.",It's odd that there's no a towel nor a table.
147,2,1,"In a busy street, a small vase sits in the corner, however it's odd that there's no a bowl nor a knife.",['vase'],"['bowl', 'knife']","In a bright room, a shiny vase is on display.",There's no sign of a bowl nor a knife.
148,1,1,"On a soft rug in the living room, a gentle pig plays happily, while there's no sign of a stove.",['pig'],['stove'],"Near a quiet pond, a pig sits comfortably.",without a stove.
149,1,3,"A laptop is placed neatly on a wooden dining table, with an old chisel, a sweet sushi nearby, while with notable absence of a stove.","['laptop', 'chisel', 'sushi']",['stove'],"In a cozy bakery, a laptop, a chisel, and a sushi create a cozy setup.",Nowhere in the scene can you find a stove.
150,2,2,"In a rustic cabin, a new motorcycle sits alongside a vintage cabinet, but surprisingly, there's no a vase nor a blender.","['motorcycle', 'cabinet']","['vase', 'blender']","In a quaint study, a new motorcycle sits next to a cabinet.",with notable absence of a vase and no a blender.
151,0,4,"In a bustling kitchen under a clear blue sky, you can see a sushi, a colorful board game, a bright chisel, a phone, however ","['sushi', 'board game', 'chisel', 'phone']",[],"At a sunny picnic amidst a quiet afternoon, you can see a sushi, a board game, a chisel, a phone.",
152,0,2,"In a sunlit bedroom, a wardrobe sits next to a wooden bed, yet ","['wardrobe', 'bed']",[],"In a cozy living room, a soft wardrobe sits near a rustic bed.",
153,0,4,"In a busy street with soft music playing, you can see a watch, a colorful wrench, a new notebook, a large cutting board, though ","['watch', 'wrench', 'notebook', 'cutting board']",[],"Near a calm river under a clear blue sky, you can see a shiny watch, an old wrench, a beautiful notebook, an old cutting board.",
154,0,2,"On a grassy hill, a large pliers sits beside a large notebook, but ","['pliers', 'notebook']",[],"In a busy street, a pliers sits near a notebook.",
155,0,2,"In a cozy bakery, a paintbrush sits near a sandwich, however ","['paintbrush', 'sandwich']",[],"In a bustling kitchen, a paintbrush sits near a juicy sandwich.",
156,2,4,"On a wooden dining table with sunlight streaming in, you can see a bright toaster, a new cutting board, a shiny tree, a crisp egg, and yet with notable absence of a rug nor a lamp.","['toaster', 'cutting board', 'tree', 'egg']","['rug', 'lamp']","A toaster shines brightly at a sunny picnic, with an old cutting board, a beautiful tree, a delicious egg nearby.",without a rug and no a lamp.
157,0,2,"At a busy market, a tall baby sits alongside a television, yet ","['baby', 'television']",[],"At a train station, a baby sits beside an old television.",
158,1,1,"In a busy street, a simple oven shines brightly, while surprisingly, there's no a pillow.",['oven'],['pillow'],"At a serene lake, an oven shines brightly.","You'd expect a pillow, but it's missing."
159,2,3,"On a wooden dining table, a knife, a sweet orange, and a motorcycle are neatly arranged, but with no a colander nor a book.","['knife', 'orange', 'motorcycle']","['colander', 'book']","In a bustling kitchen, a knife, a homemade orange, and a large motorcycle are on display.",Nowhere in the scene can you find a colander or a book.
160,1,4,"In a sunny park, a guitar, a cow, a goose, and a sleek rabbit are neatly arranged, however nowhere in the scene can you find a sunglasses.","['guitar', 'cow', 'goose', 'rabbit']",['sunglasses'],"In a grassy field, a new guitar, a cow, a goose, and a rabbit create a cozy setup.",No a sunglasses.
161,2,1,"In a sunlit bedroom, a vintage rug is placed neatly, however with no a toaster or a watch.",['rug'],"['toaster', 'watch']","In a rustic cabin, a rug sits in the corner.","Surprisingly, there's no a toaster nor a watch."
162,1,4,"At a sunny picnic with soft music playing, you can see a window, a bird, a star, a fish, however with notable absence of a wallet.","['window', 'bird', 'star', 'fish']",['wallet'],"In a cozy bakery, a colorful window, a furry bird, a star, and a sweet fish are on display.","You'd expect a wallet, but it's missing."
163,2,2,"At a serene lake, a scarf sits alongside a bicycle, yet with notable absence of a book nor a knife.","['scarf', 'bicycle']","['book', 'knife']","In a bright room, a scarf sits near a bright bicycle.",It's odd that there's no a book or a knife.
164,0,1,"On a grassy hill, a large mountain is on display, though ",['mountain'],[],"In a bright room, a mountain is placed neatly.",
165,1,1,"In a busy street, a large radio is placed neatly, however without a candle.",['radio'],['candle'],"In a busy street, a radio rests quietly.","Surprisingly, there's no a candle."
166,2,3,"In a bustling kitchen under a clear blue sky, you can see an egg, a river, a colorful blanket, though nowhere in the scene can you find a spoon and no a toaster.","['egg', 'river', 'blanket']","['spoon', 'toaster']","At a lively barbecue amidst a quiet afternoon, you can see an egg, an old river, a blanket.",Nowhere in the scene can you find a spoon or a toaster.
167,2,2,"In a sunlit bedroom, an old piano sits near a polished dresser, yet nowhere in the scene can you find a gloves or a chair.","['piano', 'dresser']","['gloves', 'chair']","In a quaint study, a simple piano sits next to a rustic dresser.",No a gloves and no a chair.
168,0,3,"In a bustling kitchen amidst a quiet afternoon, you can see an intricate curtain, a bed, a watermelon, but ","['curtain', 'bed', 'watermelon']",[],"At a sunny picnic amidst a quiet afternoon, you can see a curtain, a modern bed, a watermelon.",
169,0,4,"On a wooden dining table as the wind gently blows, you can see an intricate knife, a colorful door, a new umbrella, a fresh waffle, while ","['knife', 'door', 'umbrella', 'waffle']",[],"In a cozy bakery with sunlight streaming in, you can see a new knife, a simple door, a bright umbrella, a waffle.",
170,1,4,"A tasty banana awaits on a plate in a cozy bakery, with a fork, a sturdy mirror, a colorful clock nearby, though you'd expect a toaster, but it's missing.","['banana', 'fork', 'mirror', 'clock']",['toaster'],"At a lively barbecue amidst a quiet afternoon, you can see a banana, a fork, a plush mirror, a large clock.",Nowhere in the scene can you find a toaster.
171,0,3,"On a wooden dining table, a vintage futon, a savory egg, and a cozy bench create a cozy setup, but ","['futon', 'egg', 'bench']",[],"A wooden futon is on display on a wooden dining table, with an egg, a sturdy bench nearby.",
172,2,1,"Near a calm river, a truck is on display, yet no a fridge or a watch.",['truck'],"['fridge', 'watch']","At a serene lake, a truck sits in the corner.","Surprisingly, there's no a fridge or a watch."
173,1,1,"In a sunny park, a lion rests quietly, yet a candle is conspicuously absent.",['lion'],['candle'],"In a grassy field, a lion rests quietly.",without a candle.
174,0,1,"In a busy street, a blender is placed neatly, but ",['blender'],[],"At a serene lake, a new blender sits in the corner.",
175,1,2,"In a bustling kitchen, a sweet ice cream sits near a pasta, however nowhere in the scene can you find a pot.","['ice cream', 'pasta']",['pot'],"In a bustling kitchen, an ice cream sits beside a pasta.",There's no sign of a pot.
176,0,1,"In a cozy living room, a vintage sofa rests quietly, though ",['sofa'],[],"In a cozy living room, a sofa shines brightly.",
177,0,1,"In a modern office, an ottoman sits in the corner, yet ",['ottoman'],[],"In a cozy living room, a rustic ottoman shines brightly.",
178,0,2,"On a wooden dining table, a fish sits next to a young baby, however ","['fish', 'baby']",[],"In a bustling kitchen, a fish sits near a baby.",
179,1,4,"At a sunny picnic as the wind gently blows, you can see a delicious lemon, a delicious watermelon, an armchair, a goat, and yet with notable absence of a clock.","['lemon', 'watermelon', 'armchair', 'goat']",['clock'],"At a sunny picnic, a lemon, a watermelon, an elegant armchair, and a goat create a cozy setup.",with no a clock.
180,2,4,"A chisel is placed neatly on a soft rug in the living room, with a level, a sleek duck, a sunglasses nearby, though with no a table and no a mirror.","['chisel', 'level', 'duck', 'sunglasses']","['table', 'mirror']","Near a quiet pond with sunlight streaming in, you can see a chisel, a level, an adorable duck, a sunglasses.",Nowhere in the scene can you find a table and no a mirror.
181,0,2,"At a sunny picnic, a watermelon sits near a large mountain, and yet ","['watermelon', 'mountain']",[],"In a bustling kitchen, a tasty watermelon sits near an intricate mountain.",
182,0,1,"Near a quiet pond, a majestic bear roams freely, however ",['bear'],[],"In a grassy field, a bear plays happily.",
183,1,2,"At a sunny picnic, a lion sits next to a fresh sushi, though without a gloves.","['lion', 'sushi']",['gloves'],"On a wooden dining table, a lion sits next to a sushi.","You'd expect a gloves, but it's missing."
